column	description
lowcarbonshareelec	Share of electricity consumption that comes from low-carbon sources. This is the sum of electricity from renewables and nuclear
lowcarbonelectricity	Electricity generation from low-carbon sources, measured in terawatt-hours. This is the sum of electricity generation from renewables and nuclear power
lowcarbonelecpercapita	Per capita electricity consumption from low-carbon sources, measured in kilowatt-hours
lowcarbonconschangepct	Annual percentage change in low-carbon energy consumption
lowcarbonshareenergy	Share of primary energy consumption that comes from low-carbon sources. This is the sum of primary energy from renewables and nuclear
lowcarbonconschangetwh	Annual change in low-carbon energy consumption, measured in terawatt-hours
lowcarbonconsumption	Primary energy consumption from low-carbon sources, measured in terawatt-hours
lowcarbonenergypercapita	Per capita primary energy consumption from low-carbon sources, measured in kilowatt-hours
nuclearshareelec	Share of electricity consumption that comes from nuclear power
nuclearconschangepct	Annual percentage change in nuclear consumption
nuclearshareenergy	Share of primary energy consumption that comes from nuclear power
nuclearconschangetwh	Annual change in nuclear consumption, measured in terawatt-hours
nuclearconsumption	Primary energy consumption from nuclear power, measured in terawatt-hours
nuclearelecpercapita	Per capita electricity consumption from nuclear power, measured in kilowatt-hours
nuclearenergypercapita	Per capita primary energy consumption from nuclear, measured in kilowatt-hours
oilshareelec	Share of electricity consumption that comes from oil
oilconschangepct	Annual percentage change in oil consumption
oilshareenergy	Share of primary energy consumption that comes from oil
oilconschangetwh	Annual change in oil consumption, measured in terawatt-hours
oilconsumption	Primary energy consumption from oil, measured in terawatt-hours
oilelecpercapita	Primary energy consumption from oil, measured in terawatt-hours
oilenergypercapita	Per capita primary energy consumption from oil, measured in kilowatt-hours
oilproduction	Oil production, measured in terawatt-hours
oilprodpercapita	Per capita oil production, measured in kilowatt-hours
otherrenewableselecpercapita	Per capita electricity consumption from other renewables, measured in kilowatt-hours
otherrenewablesshareelec	Share of electricity consumption that comes from other renewables
otherrenewablesconschangepct	Annual percentage change in energy consumption from other renewables
otherrenewablesshareenergy	Share of primary energy consumption that comes from other renewables
otherrenewablesconschangetwh	Annual change in other renewable consumption, measured in terawatt-hours
otherrenewableconsumption	Primary energy consumption from other renewables, measured in terawatt-hours
otherrenewablesenergypercapita	Per capita primary energy consumption from other renewables, measured in kilowatt-hours
percapitaelectricity	Electricity consumption per capita, measured in kilowatt-hours
population	Total population
primaryenergyconsumption	Primary energy consumption, measured in terawatt-hours
renewableselecpercapita	Per capita primary energy consumption from renewables, measured in kilowatt-hours
renewablesshareelec	Share of electricity consumption that comes from renewables
renewablesconschangepct	Annual percentage change in renewable energy consumption
renewablesshareenergy	Share of primary energy consumption that comes from renewables
renewablesconschangetwh	Annual change in renewable energy consumption, measured in terawatt-hours
renewablesconsumption	Primary energy consumption from renewables, measured in terawatt-hours
renewablesenergypercapita	Per capita electricity consumption from renewables, measured in kilowatt-hours
solarshareelec	Share of electricity consumption that comes from solar
solarconschangepct	Annual percentage change in solar consumption
solarshareenergy	Share of primary energy consumption that comes from solar
solarconschangetwh	Annual change in solar consumption, measured in terawatt-hours
solarconsumption	Primary energy consumption from solar, measured in terawatt-hours
solarelecpercapita	Per capita electricity consumption from solar, measured in kilowatt-hours
solarenergypercapita	Per capita primary energy consumption from solar, measured in kilowatt-hours
gdp	Total real gross domestic product, inflation-adjusted
windshareelec	Share of electricity consumption that comes from wind
windconschangepct	Annual percentage change in wind consumption
windshareenergy	Share of primary energy consumption that comes from wind
windconschangetwh	Annual change in wind consumption, measured in terawatt-hours
windconsumption	Primary energy consumption from wind, measured in terawatt-hours
windelecpercapita	Per capita electricity consumption from wind, measured in kilowatt-hours
windenergypercapita	Per capita primary energy consumption from wind, measured in kilowatt-hours
